"HolderAddress","Balance","PendingBalanceUpdate"
"0x0860DF0aeB7FDD29c6Da4dbC7AAED0da59325DDD","-3","No"
"0xaeE1253708b03e8814f7fe963Eac21fbF521fc8b","3","No"
"0x2311BBEd77d54a0D4939853cB684f19d6250EA92","-107844","No"
"0x14821245B3f4D02C32799387BFBb58a2842D4450","-107844","No"
"0x79Ff3a08ee46BfdEd8b0a98B98603a0555997747","-30181","No"
"0xb4cD5C7fdf0dD9d887c42BCD535E741E7eF6E21e","-30181","No"
"0x5E5E2aC1Ba4D145eE3dA99e7cAff2ACE69a3a5d3","-173269","No"
"0xaeC2E87E0A235266D9C5ADc9DEb4b2E29b54D009","449527","No"
"0x012E93D018efA008cC840848815bAb5d37c658d5","-1293370","No"
"0xB2070e3C09AcE4466fFE821278D3b83Cbd3AbaB8","259947","No"
"0x48A50c062BeDE8d6812DE56e9E6051545392E457","-172197","No"
"0x16A75FcCCe5F67BcBf8319cFbF0a0e4d37834B36","-187275","No"
"0xE84bF97693f01c3Bd5A742A9C5bF1A564b55494D","-658530","No"
"0xc2869c0DE0439ca3cf38e3B645A95ED315c50D88","10","No"
"0x0fc94252F60b7F2cCA5426D4FcBdE5f9b8Ba3A1D","-646000","No"
"0x67d8D2d3DF4aB6910EED8a15bcDB53a6A4c3C8A4","-646000","No"
"0xEa78C7CF412EAA23E7ed8176b16A47AE0d89C383","-215508","No"
"0x0b1FB677B07375B781B4551B2E265d05590fd62f","-215508","No"
"0x77713d24fB7bCc33c3A2A0a9dA75685954cFF79D","-180172","No"
"0xB02041368a3fDDD0017C88D7D772d641e8031BEC","-1206034","No"
"0xe4758Eb2078402f1fe6b375e22fACAc4B742189c","-431030","No"
"0x547389052A8DC86365c46641B5184956Ec22749D","-431030","No"
"0xDaaAeac016952F430fCDa97Fd2a9EE72375c3100","-707396","No"
"0xdEe2F82F01696DE60B78ece1894Ead13dF6a0778","-464040","No"
"0x2f6f3C56362FCcEa15c051C464235d2687c7c632","-21597","No"
"0xe26ce71Db5E24e754C3Ec32a697498dB365eA66a","-86198","No"
"0x7E9b93e1E63dae2Cf1cC5AEfc37238B22D71C6aa","-120680","No"
"0x51a983ba571d86cF13f45DEC396A9C44A1B7357d","-224438","No"
"0x45Ff0afb85299c3C4a96821f70f4A68B5AC9A2Ff","-313951","No"
"0xCC3E6fd34A5F6c04abbeA2d5326534e458D8229C","-61009","No"
"0xbFbdbe80674C5Fe7Fd16765230e70fB3Af3da654","61071","No"
"0xf745D57BF06b65F76D2bF7BCEdc406371D8F027b","-39327","No"
"0xd65653065088e7527061eF4aabD131b86af6E2dF","-5","No"
"0x949A6C2c678C107eFEE507c10194fC6DFB7C3260","-518085","No"
"0xed12871843Ce1E59A07Da00633Bd2D0b0385D86d","-413","No"
"0xB234fAB8AE9c38549c6CD10F98a67da6d62Ff749","0","No"
