"HolderAddress","Balance","PendingBalanceUpdate"
"0xaee1253708b03e8814f7fe963eac21fbf521fc8b","3","No"
"0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009","449006","No"
"0xb2070e3c09ace4466ffe821278d3b83cbd3abab8","423317","No"
"0xc2869c0de0439ca3cf38e3b645a95ed315c50d88","10","No"
"0xdee2f82f01696de60b78ece1894ead13df6a0778","30000","No"
"0xbfbdbe80674c5fe7fd16765230e70fb3af3da654","61071","No"
"0xb6590819a7f26856bf7eb0980cc136b2a105cf48","40","No"
"0xd5cafc7cb024643a8668101b170490300c9e2b11","1","No"
"0x0403c0d0f0d6f755471e8d8e4574a73a8e7943c2","4001716","No"
"0x4aea7cf559f67cedcad07e12ae6bc00f07e8cf65","21586","No"
"0x83c941d810ba36ca028e88e49371ba4c9118d49e","4","No"
"0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","1024","No"
"0x82307ad323ed6e7b06f532dfacf74795bb031f68","10","No"
"0x8051ae60891be4d0c4bb002b967927d614180d1a","222275","No"
"0x7ebab9385bdff4985f07813f6f24129c0b3e16ee","1000","No"
"0x99d9417f307cae2e34806a305012d88f51639762","2","No"
"0x37cb6dbff29927cb54c0cd95e1ed96b60ac0d41b","248","No"
"0xc85c33b13e8f2ccacd321bae12ca933d5186c79d","10","No"
"0x6696e55e9feeae5fd5872ba62d36a802e96ac98e","40554","No"
"0xfd2fb4310bc79c1efd0394a2364dc8398a0a8732","90","No"
"0xb3794869ac037a9bfd209e137a941e210f78434c","70000","No"
"0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98","3891595","No"
"0x1fbe438bdc7a40b7abed8834d5fe89f47130224e","372","No"
"0xc19b3109670ad3253bd8e91b06cafc879f62c923","89499","No"
"0x6407b662b306e2353b627488da952337a5a0bbaa","9335","No"
"0x9759d271753f79486cc4ed38ea99ca4a67b09436","68","No"
"0x378e6582e4e3723f7076c7769eef6febf51258e1","300000","No"
"0xa85864d43e4cd0d362d14be7680461811ca9b321","39419","No"
"0xb134e792f7929c6d8f724afe554b4d07ff7ab9e8","150860","No"
"0xab8c0420ad39a5727fd43c917679e8822bff1c51","30","No"
"0x5296f11d4ce270c1753a8e58b1bce203c8d502ca","120415","No"
"0xed791bd2bb9e69c4f4864edbba771feba5daa997","1","No"
"0x5f33114602abf9a93c0977f2ed45fb7c7b856299","2231","No"
"0xeda3c50ee6af463cdf2b0b1bbf859ca56fb92d9b","2684621","No"
"0x06c503404928fc8f0e70a41c58751a2a20df3d3e","1","No"
"0x2e82c9f2148e02ec94c59441ecf32527a46890f0","81115","No"
"0xb450c3af034975dbe868187ff3c594fc87b99b22","5","No"
"0x06a2cf3f024d8871baedd0f7bd9340001aada574","2","No"
"0xe5db51ebe741154e7821e512100d6fe0c3f6b44b","500","No"
"0x704fdf68cb7793418f55eb785a9bb9f61991e203","171629","No"
"0x60e16961ad6138d2fb3e556fc284d9c2fff41486","1","No"
"0x0477da51cc20e5c783c31dcb0575a0ba653a0596","83333","No"
"0x986534b63966ab20163c7650c38043c6a4c8bc95","2293","No"
"0x98c2273460c030f89d07a4d04985cf9a8710f2b8","2293","No"
"0x273c5265fc9f81d338425b4a5e88e1b97a45ebc3","2293","No"
"0x50cee8a8411b5ded206aeaa0c77b4000f3a77a3b","5000","No"
"0x432f5e56ed59493747621882fec6a0732ab8b7e1","500","No"
"0xc970b95334cc5917e45452443623534f642aeec6","1660","No"
"0x55a435f1f24e059d0f3d3dea56dbeeb459585022","110","No"
"0xa829d62b47956cb9514a88c5bf854e0bc84d12ec","1","No"
"0x2e79b81121193d55c4934c0f32ad3d0474ca7b9c","384000","No"
"0x36f3c14757e1afee9d9c75f8376927f1318f5768","1019","No"
"0xcaf99e7b3629c16b392b81a57831cc7a7b13651c","2662","No"
"0x6a8076e1b8fc43d5e07d03ba090d7a19e1cdafd1","11","No"
"0xdf65f2cb723d1697a8582ebd1777284c8b7912c9","631","No"
"0x2e9df3b028d0d9511aa1ccc86fa1afe08c9bcd7d","1098984","No"
"0x06e1936d00945b8d877593339672e13a29e086b6","2","No"
"0xcf4e94e8da111c122a26ea787856461ecbf5fa28","1400011","No"
"0xa8f2f16254b8c68aa7c1cc40347678660f6ae3d9","15000","No"
"0xa25e472d2000d8a23c331ea580198b28fdb5434b","29793","No"
"0xdbaddbae610da85fa15a9f7e279d9a9d68b05c01","1","No"
"0x0007bb1a35f4eb27d4dc7b3aa1205d57e0e0029b","4310","No"
"0x373af446b6549a9cdae1c3832d7a8a55663a18aa","63990","No"
"0xfe7a1ff3c1356eea7d6f060b78c8ebb996f131cf","9","No"
"0xe83e3fda725849d8b527c976dc01f5c9b6cff361","99","No"
"0x9bcacda2cd4b6c4053d23bb60c7593df1ab3754b","22","No"
"0x5f9f69c7e8f848f970c80d362201e3d4d6ace08c","1015644","No"
"0x32708f699f98318bcc39686c8a3778c9e1546efe","504","No"
"0xf96590cf48dbcd77cd1dfb21826b3be31a27d56e","39","No"
"0xb6e4b1911e94d3229b74d633853c0040708b6e78","9","No"
"0xf07e397657b98c327f34f385423a12aeb2ca4cda","847","No"
"0x606388057f94417fdf4e4291fea420f96a748ffa","325000","No"
"0x51f817d463125b489fd22a2024d7532bbcd0107c","1","No"
"0x0000000000000000000000000000000000000123","59971","No"
"0x745233b8380662a845424146580b6f5446b9f80f","3057","No"
"0x943c65ee8d543c8d6ab980a3acd714f4ad28d942","62305","No"
"0xc09cad89026d1318f2c5f0a0542221cb9ea672ea","31474","No"
"0x8f60895fbebbb5017fcbff3cdda397292bf25ba6","563","No"
"0x6b907495c7a953574657eb92c66f9adee7886fcb","10","No"
"0x04cbbd3ee23fe550e376e7859ca53bdcb2c5216d","3697","No"
"0xa859a5898ad81c7eaa6046a5cd8c1204218a6bb6","200000","No"
"0xfd6c2dfa9118a70dbc9780fd0a095df3ea11a9ae","1","No"
"0x64dfbf115564949d405b33d41fee132ffeb7f08a","3433","No"
"0x94c5997de57a6c7e8ba94c88e4bfbf9c5af7ff33","2697","No"
"0x503b9641a3c5b45bdc0739a1cc86ad9c219fe2d0","500","No"
"0xab9613c31c4051afa4d108e232e314f22309d754","14","No"
"0x080e4356c9ace537846628f24578edd96c166ea6","17","No"
"0x483771169d36c6667cffe7af7fed41a3fa63c9d3","80","No"
"0x7f4b3c7e80e9788f56b2a853c52adeaf117fcce2","200","No"
"0x2b171459726b84e8f097c2f3390c3ed419b399aa","200","No"
"0xe61382ffc8b9431b3b8b2e277ddc7a998a2f4f47","200","No"
"0x2a051339ac824be420c7c0084299470c4ca72d03","200","No"
"0xe4ce9fc721bd1600f4a969a6fa037177f0d0dbf0","200","No"
"0xbdf6e68c0cd7584080e847d72cbb23aad46aeb1d","42190","No"
"0xc046b59484843b2af6ca105afd88a3ab60e9b7cd","417","No"
"0x9d35f398cd65f28f8f9932c1556b9c3fdfb2aa92","12","No"
"0x0744a36613acd4b65a3474bd9cc875f8470891a3","82829","No"
"0xa670b7a5fc935a3ae4128c4c60ecb0d00eb39207","18","No"
"0x97e5947e5174af4ab3d9d70a54bae23cfb213c2b","10","No"
"0x5be983bbe24590d022beff60bd73bd761db0c63b","1","No"
"0xc6bfce8cead4ecc595ba227b9527afa914dd8183","460","No"
"0x3d377d220034237a62aae51f7dafe3208ce45283","137","No"
"0x8f38b5b8392f42cef026f16eb5d8a466873bd5c9","119","No"
"0xba4bae596da8b66ce83499b4af52566f42bfde21","115","No"
"0xfc26ccacf3487257ba1910f3bb24d91dff5b2ad2","90","No"
"0x6e7be23e38ec87dab1aa9f8097fde7fca4223640","486","No"
"0x8493bb51d7c9ea0229b796698105714fc302746c","279742","No"
"0x2b59ed277e1557fadbfb8285ebf0a85b364b9dac","40633","No"
"0x98a89ab78f51aa64c12bc36ec157a16c32d81010","8179","No"
"0x294a026b5db31c802f976c65a10b65c2ec13ce5c","10","No"
"0x2ef37d80f87ba56c038f6d04982cfa7b1dc560d0","1","No"
"0x65f3ec0bb5017d34f6b80a2a924420264a03d851","392","No"
"0xf659084ed347c3b37cba2b8edb2586a88adfd9f8","1","No"
"0x22344442be50b74c24f6f5ebbf41e2fa4625c8f3","1388889","No"
"0xe550f74a5682763bd0f8616dec2f35f6e9d291cf","13972003","No"
"0x3f6253485de744e4f9615df53dca52d28a9d75ee","37359","No"
"0xf41ba23f140f5c88cd9ed54d29a71827d020172e","100748","No"
"0x26bbfc6b23bc36e84447f061c6804f3a8b1a3698","3237","No"
"0x26a515fe217c878570c127fc5fa32bc21f7deda1","277778","No"
"0xa707898bf5f346f13b47de639caeaa152d366eec","41588","No"
"0x63c681cd9b24e6f8a0c4b9d50460995267f9d24f","9","No"
"0x32908c3378b0cac691e38bf621b76edea2293734","2","No"
"0x63cf90d3f0410092fc0fca41846f596223979195","12","No"
"0xf6abb80f11f269e4500a05721680e0a3ab075ecf","46","No"
"0x0037a6b811ffeb6e072da21179d11b1406371c63","12","No"
"0x3ff047e5e803e20f5ef55ea1029adb89618047db","5","No"
"0x2f81fb2c0868b91f9253cf4ead2de17699c4e5ce","25000","No"
"0xd8bd350823e28ff75e74a34215faefdc8a52fd8e","2","No"
"0x0a71f132beec0142e8579f88e5cf3b6a1971129b","2398","No"
"0x90959b90170af83e7a980a0261d45c603d66392a","2147","No"
"0x1ed014aec47fae44c9e55bac7662c0b78ae61798","216","No"
"0x04930ccd1e3977a1b45788ae99c8b76daacb7a82","10","No"
"0x5c0390bba58be261de46290a642cbc3b4739f894","1","No"
"0x68b590883519922dcd1aed5e052304501533b302","3138","No"
"0xef8fa53b23b971a44c839bc82cb028cfb731cdcc","310","No"
"0xa13556ae5365de0760dcff854c290916c5caba01","1250","No"
"0xce7f06ba27b3e525ccdfc559cea9e523e5f91eae","25800","No"
"0x677a16bf837fd3ac55ea41a6f4bb515ec2343de5","64","No"
"0x0000000000000000000000000000000000000000","1","No"
"0x7084286a432b32bf2d9b603d3fea92578d7bda1f","69","No"
"0x3fa6a04037c84d21ca3caae4b996507fa13c0d10","22501","No"
"0x2eded592ab1f5d8daa8512cafde3955154c141f8","107844","No"
"0xbc825866a4d39c7177c513dc2e59a67d72d1e9fa","5051","No"
"0x0d8011b3a01787e125a5d8eda64bf61bc8abd62c","40000","No"
"0x88fccd2564750e38e15a243868b2631031c2b8e3","5576","No"
"0xfd6c5ac853391486d25ddd5cefb1f7040ee31c2c","9170","No"
"0x618a4face7763f1f55dedc0ecc5442b91b32dc0a","99","No"
"0x8591edee31ccc42a423e324f977d9937cff1bc3f","10000","No"
"0x5e58caeb958e67c89adc9e5e6bcaa79795e8d3f1","7","No"
"0x4711518c492c7acc281dba4290fd005c3a42a011","10","No"
"0xddf5810a0eb2fb2e32323bb2c99509ab320f24ac","108618","No"
"0x148918d4a39f6868abbf70d097179373055614a8","89389","No"
"0x2c6dff1c60b23c6324e355b40fe233491e0eb12d","1427","No"
"0xb42da5b3701a0592e5aa0aebc0c20711bd49fb46","103","No"
"0x79b48f6f1ac373648c509b74a2c04a3281066457","317400","No"
"0x006bf8fffa0e1b3cd01aa319634c7c5d5aee2390","10","No"
"0x446ce9fecdc82b43ac0f17a97e071c37b4b4e5ee","19997","No"
"0xa0ec3ded402db89a27f2889fea4dd11def4df6cf","34053","No"
"0xe92f5e88490a829963ec643ecdeb0e17eb282c1a","10","No"
"0xdbd39a32d266d103e80bf508e1373e410a793090","800000","No"
"0x912fde9d027179a009dcc7e908df84fd5b17da4d","9","No"
"0x4614dfe55c927d0079d196ced112ec3f4de7702c","6932","No"
"0x0056da92efd7fc6a13a2e429f14df1cc87743d1a","1019","No"
"0x2b1c0644ec12340c59fd10338a57ba39aed52789","1","No"
"0xe717b06d4f5213a684ffaa91d281cd63d1a3be05","19781","No"
"0x250511a31496c2dec343c2948d61927a06ac8da1","277778","No"
"0xa67ac157105991dadeecb6f4cc717e98aab4e642","439","No"
"0x55087629c6af3abf6dbbcd629d64904a37997faa","1000","No"
"0xabd4d5cb5fde6e64d1b5999dca024956210d937e","285716","No"
"0xcb134b266bc2e694a7603e481967bdf1ee84ac30","62442","No"
"0xbda0e102a39e71a78e6c12a92c88a65c95789c4c","3057","No"
"0x53414d2c9bb833404adaa23bd0e059f44936d162","8000","No"
"0x00f8835c4b92472d097705be9483c9ffd0d6d501","6301","No"
"0x95ff49ca65d1df4f358816c845105eb9239d42ec","1548","No"
"0x8080df3074ed547b78c609efab566bbb51845bb6","1","No"
"0x5de81b6aeb8939dddc681dfcc567e1d515936f1f","1","No"
"0x443b025b3e379afdbfd0213c0d94fc63846c8191","99","No"
"0xda0c7fc363a9d3b2f1e8766dff3856d4baa21c69","3","No"
"0x8a1164090b31de0841d428e702bf597ecd3a6efd","69","No"
"0x9445b1c7339deab4c2b1edfe920b16efed1ca521","1","No"
"0x3b205f4b0e8596f3c0a1ba08aa3b06b23486e215","116778","No"
"0x5ebe0d618dce98298d26ab6ee36d25f2839b3d0f","733","No"
"0xa7a114a2ee16e6a719e281db615752a5548d3e94","2","No"
"0x8ccbac75b7e58493b5e38ce734f40a6b83050e07","26179","No"
"0x4fe56ab3bae1b0a44433458333c4b05a248f8241","6228012","No"
"0xe4f7d5083baeea7810b6d816581bb0ee7cd4b6f4","2430399","No"
"0x034b14efeb64945f8709785c5f35f282a555a2fe","300","No"
"0x2d8954749eaf1c629797ce1d9b29475b9b281cf4","3","No"
"0x0390660e33a28faa0e2fee8a5b013ac132bdbcc0","398709","No"
"0xd42eadc1fd9d8127677ca4210e7290237eafd5c7","299","No"
"0x7b8427f18e14d365154e74d165b44e0f60868186","9","No"
"0x831bf10dbf32ebe45063b6d872727d96d30cc902","60009","No"
"0x3e9104708faefe64aeae4cd143abac98d10f79d8","53","No"
"0x251a5b43dad5abfecfbc626f7799c18acc7ec9d2","1504","No"
"0xe3a05ca2702ada4817fd91cd99a0b2d8846de34a","3016","No"
"0x8d9f58ac8e73a7885d8f7fc866ec972f7c5711e3","210","No"
"0x32ac6e417920319f2aed1bf4007ef76a29e82414","2393","No"
"0x76415ec234d38698dd0018bf3a05e2139a3d673c","100004","No"
"0x9f784f80e47af88f3010ff85855dff93759de5fa","1312","No"
"0x356d1e6ee8f672f1b47c1fcda2b84673009c3c5f","1","No"
"0x17adaa792db3402ce65fb3c423232863eac84e6d","2","No"
"0xd8ddb6b89351a6a8f915b41434295bf22a977827","155","No"
"0xf59ecb9da29b4d3c949e381aaf95d4850f912d95","18369","No"
"0xb18626e852ab67e854fd6cc6f4d782a2f893a4c0","187","No"
"0x8644cc281be332ccced36da483fb2a0746d9ba2e","30459","No"
"0xb27c1a24204c1e118d75149dd109311e07c073ab","10","No"
"0xf2da5add7c6f8a47997efa04049ee7888542744b","221","No"
"0x508fbda788304d12d8ec67f34420531f54b4d7db","191","No"
"0xa0e16b328c9a24f9a1aa61e1d18370d240ec694b","10","No"
"0x104e1b2fa0c9186cd5fff610428d4de205190361","21","No"
"0x0608cb960f4da7f22f7475d46d126562838e73dc","145","No"
"0xd73621616d8b79e396beabff8a2e25ad6ddd11aa","49","No"
"0xdb227575de9c34380dc9cb52af9d4cd7dbb75c6c","3972","No"
"0x41240e0ce9f27fc93ab9f51881da12ac3b29c608","34896","No"
"0x00ef0c1bccb4264470f49f6a0c95f702a881198b","2700","No"
"0x9c882015f162a1677988aceb81ce585629f22a17","116379","No"
"0x51ded656442eb0d148ebedda17c221f9ec4a3822","218533","No"
"0xbd66d87f2e121e21081d02546a00a7b9b59a0afe","11","No"
"0x7f8e92b81d1f374f1e14cc9a2ba66ae7ae7cb8cb","855620","No"
"0x43764357c8aeb633adc6433e85e331d0b913fe79","1","No"
"0xe56d991fe1a8e6f35c900917b86929c452da5676","450","No"
"0x743d63a56cf60779463849594570eb5ca4cb1ac7","1","No"
"0xbc237bd55fd858fb59482c6e451a8212a1ba9f97","22660","No"
"0xb76ea4fd99e7d495e29827d7e2d5f1ba86303648","3800","No"
"0x461811584a9cccc35c2d46195430c90a0e289caa","1","No"
"0xb16afe9954034e11b131ab600b3aa902ed3b69ac","2","No"
"0x0fe31b3fd60e7f3d9ba84cfb826781d54e4f8789","14166","No"
"0xd7c2431e37edacb04bc2e72419cac90ef2d1bce8","5461655","No"
"0xb8df2ba1efe2846a9674d3ea1d4baa9864726f6d","3","No"
"0x6387bc737c7cb10c366f1da8c8d0e844760f56ec","20050","No"
"0xa4a2bb01517dcf2ea6c0a53cd26f0cd3fc4e13ff","43","No"
"0xf55fa782d2ad3010d83f20ea7633728b7bd359bf","75000","No"
"0x792b80400a8d1f3fdbc1a19327ff6b2f5298644b","19200000","No"
"0x8d12a197cb00d4747a1fe03395095ce2a5cc6819","314016","No"
"0x58832eed9aca390b0c39e2f424349b2c5d42858b","100","No"
"0x00ee36d7b86df19239bc75fb7259a46e2149b7c8","1429408","No"
"0x0070527586027dcba7e78fcd78e90592bb786a3c","21","No"
"0xe14fbba7cd9e6d1c3ad691f9aa6b30723a888eca","10","No"
"0x03b9a5befc427c319d2e77c534026684f140575f","10","No"
"0xe80d5919a41466e0648005d12f57fc00e35837fb","55409","No"
"0x0073ecd151f1c89898759982a10f60ac3213785c","26099","No"
"0x2b436807504fda94cc09c3a6c039072c937f1bfe","1883900","No"
"0x5acf1cd73dc1dfea81b30d2494a3846b1b1a9931","7900","No"
"0x3cd551976f59ef5f5380db3ce99ba5b5afdfd9c5","1","No"
"0xe426210d7695ae9340d766db4df3a6a91f21e26a","5","No"
"0x98400dc829c5cf8f0c6568f7f395abf8bb479653","1","No"
"0x4ad3749c80f89d137693b7880bb83b68319b57d8","14954","No"
"0x75c5891b3fba96d0a68f3c5f715d8eae81bed9fe","9","No"
"0xa10cefa3d041e48d2889f34c0341560929b43e39","4082","No"
"0xc9ced22981bceec68078502d07c07b127fc31efa","5","No"
"0x588cca135c58f98a1f75eafe4e8277a22eb6daba","18997","No"
"0xaab581d0a74c8be9f9ca7034aa6dc7c20c5f949e","8","No"
"0x2c3b2af7a5f5d5066a0adb4ae3142d2c24cad77a","10000","No"
